,stop_id,stop_name,stop_lat,stop_lon,hasPark,geometry,GridID,link_dist,linkid,node_dist,nodeid,lat_node,lon_node
71,Pryor St (SB) @ Mitchell St,Pryor St (SB) @ Mitchell St,33.75071571,-84.39150481,False,POINT (2228243.440308172 1364428.090015931),248.0,0.223340530368,210935,5.53866333452,233439,1364423.67828,2228240.09167
72,6999,PtreeDunwoody-Concourse (E),33.9160665,-84.3511391,False,POINT (2240620.534042075 1424570.319529803),250.0,15.9710655856,136523,22.2160144591,210268,1424587.45788,2240606.39798
73,6998,PtreeDunwoody-Concourse (W),33.9168856,-84.3514073,False,POINT (2240539.707212193 1424868.517654714),250.0,79.7834416385,153421,81.5619368347,210270,1424849.4275,2240625.50227
74,6939,Publix,33.9517705,-84.2342806,False,POINT (2276080.085413255 1437518.691821628),291.0,109.597036984,205434,132.556793024,94559,1437621.7307,2275996.69301
75,6952,Riverdale P&R,33.5679493,-84.4034743,True,POINT (2224452.946639316 1297934.382277801),225.0,3.29051239886,210475,67.3075132704,993523,1298001.66512,2224454.76886
76,Sandy Springs MARTA Station,Sandy Springs MARTA Station,33.9322072,-84.3507597,False,POINT (2240746.163314282 1430443.353618264),251.0,61.3561357669,210368,156.861476467,993034,1430293.73715,2240699.04182
77,STOP_f24b301d-699f-4911-8ac0-60f2867a047e,Snellville P&R,33.8537913,-84.0154445,True,POINT (2342492.442099135 1401893.434170326),330.0,33.3357803952,188896,103.768530637,993511,1401911.42843,2342594.63855
78,Spring St (NB) @ Brotherton St,Spring St (NB) @ Brotherton St,33.74875018,-84.39797184,False,POINT (2226276.168651411 1363717.244101909),248.0,14.5295514381,40500,54.9957490884,50553,1363663.92586,2226259.95948
79,6898,Spring St @ 17th St,33.7903204,-84.3894196,False,POINT (2228908.387686627 1378837.631724047),249.0,41.8205956434,147301,155.568248581,51858,1378685.88007,2228942.63554
80,6901,Spring St @ 5th St,33.7770249,-84.3889046,False,POINT (2229054.416571527 1373999.463882178),248.0,38.2799045506,172428,86.2872329619,51877,1373922.47949,2229093.38951
81,6909,Spring St @ W Peachtree Pl,33.7638343,-84.3889046,False,POINT (2229044.068058983 1369199.814192515),248.0,23.5384434243,147986,68.7230783152,51058,1369265.08887,2229022.57206
82,6903,Spring St just before Linden Ave,33.77073318,-84.38896364,False,POINT (2229031.538877513 1371710.139779859),248.0,37.1395590911,168036,146.223660501,224853,1371568.29227,2229067.04441
83,6950,Stockbridge P&R,33.5481698,-84.2789904,True,POINT (2262362.332333682 1290673.623198836),265.0,13.324744371,210460,14.0747528008,999037,1290659.58466,2262005.17867
84,6987,Stone Mountain P&R,33.8224138,-84.1099548,True,POINT (2313806.6143026 1390447.038375596),309.0,1.12853371026,169138,10.9469394183,993513,1390457.46709,2313199.17897
85,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,Sugarloaf Mills P&R,33.9842748,-84.0794849,True,POINT (2323010.275947532 1449350.824556526),311.0,13.9893633307,145781,32.2651242554,227812,1449379.47588,2323025.11306
86,Sugarloaf Mills P&R (GCT),Sugarloaf Mills P&R (GCT),33.98331276,-84.08417535,True,POINT (2321588.766246916 1448999.580071548),311.0,4.87851896655,210420,11.9700683993,500098,1448999.8605,2321397.77806
87,Ted Turner Dr (NB) @ Mitchell St,Ted Turner Dr (NB) @ Mitchell St,33.75220879,-84.39578455,False,POINT (2226943.811269603 1364974.236965469),248.0,2.05851916219,36401,68.5803962213,50824,1365030.46775,2226983.07155
88,Ted Turner Dr (SB) @ Brotherton St,Ted Turner Dr (SB) @ Brotherton St,33.74918754,-84.39803505,False,POINT (2226257.312417764 1363876.428405822),248.0,21.6515070998,40502,74.2727811085,50554,1363802.20281,2226259.95948
