stops_link,distance
15060_22042,0.1502
46901_99971100,1.2251
37007_37021,0.2832
140004_140006,0.0942
99973303_99973304,0.2411
14032_14034,0.2974
99972447_99972422,0.1852
128036_128038,0.2548
99456_99459,0.1431
165014_165016,0.182
82030_82032,0.2081
100042_100154,0.199
99972811_99972969,0.5224
73042_73178,0.2067
99973403_99973340,0.61
120035_120016,0.503
84902_99973367,0.6101
84902_99973365,0.728
69200_69202,0.1701
99971017_99972216,0.3341
99972306_115220,0.157
99970361_99970359,0.4666
106478_106178,0.1521
99250_999986,0.1991
125216_125220,0.1323
99972311_99971219,0.1933
92150_92148,0.133
122060_122065,0.1664
93098_93100,0.151
99972829_99972830,0.5227
158208_158210,0.1623
60150_60152,0.1035
53104_53100,0.1848
114050_114054,0.17
10150_10168,0.5643
99972567_99972568,0.8297
102051_99970990,0.5523
80398_80347,0.2078
46132_46273,0.195
77282_77003,0.1499
144116_144118,0.1875
145283_146284,0.1761
72158_72154,0.192
99971960_158390,0.134
79362_79434,0.114
121130_121128,0.395
158363_148034,0.1578
57002_57009,0.3066
73038_73042,0.1946
99971398_999796,0.1266
79330_79326,0.0665
122210_122212,0.1461
999738_70274,0.2614
99973171_99973151,0.2502
99970977_99971157,0.4515
70076_70078,0.1445
47312_48032,0.4742
99286_99285,0.1141
54514_54520,0.1691
106474_106310,0.1573
99973206_99973253,0.6008
78294_78296,0.165
99972948_99972947,0.2653
54158_54510,0.232
69060_69062,0.2193
999948_184099,0.4247
147040_147042,0.2311
125120_125235,0.111
99973005_99973006,0.4095
107232_107270,0.21
86034_99970790,0.1591
77035_99973284,0.2682
59074_59075,0.142
77398_99972654,0.2928
73058_73060,0.2961
54246_54248,0.1184
54118_61024,0.1926
70122_70230,0.3529
99970047_99970048,0.1698
1000027_93002,0.2159
48086_42126,0.5255
99973332_99971820,0.1151
802_224,2.2702
139044_139040,0.1233
92152_92154,0.1331
98170_98168,0.2257
99972991_99972992,0.3929
99973086_99973087,0.3066
190062_191072,0.8298
93027_93518,0.1511
99972541_99972625,0.6242
107094_107090,0.2472
105004_105006,0.1886
73010_73012,0.2501
133140_133152,0.1886
63032_63034,0.2249
122262_99969969,0.113
58100_58066,0.1398
99396_99900,0.1501
99972703_99972704,0.5444
63076_63078,0.1934
98030_98032,0.2034
77328_77330,0.2111
99972021_93230,0.0702
99970100_99970101,0.131
133018_99972145,0.1284
47140_47142,0.1394
99970045_99970047,0.1944
79324_79328,0.0668
66100_66098,0.1071
97112_99973375,0.2726
99971094_55006,0.3309
122290_122292,0.0621
16030_999779,0.2327
101069_101139,0.307
121112_121110,0.1181
48040_48042,0.15
48050_55016,0.4606
128064_128068,0.0941
54098_54100,0.1146
99972523_99972506,0.3035
147046_147056,0.184
134064_134066,0.3054
134036_134038,0.2442
130074_130086,0.1387
154022_999853,0.3504
144138_99969960,0.3901
184058_184066,0.1335
130100_130102,0.1191
37020_37018,0.148
74016_74018,0.4945
99970342_99971963,0.4258
105196_105198,0.276
72018_72020,0.2669
66086_66085,0.1884
99972993_99972994,0.337
106392_85441,0.1797
78088_78090,0.073
99973333_153023,0.2037
60184_99972134,0.2877
106022_106024,0.1121
86206_86208,0.102
114132_114130,0.09
99973022_99973030,0.6774
130076_130074,0.099
114136_114140,0.1501
159334_159336,0.1926
87068_87066,0.1925
86196_86198,0.1928
83152_83154,0.147
39_40,2.3408
99970329_125098,0.1431
61056_61058,0.3914
67080_67260,0.1549
36038_36088,0.6767
105416_105226,0.176
77532_77534,0.1341
99972527_99972528,0.2476
83030_82084,0.1449
99972499_99972602,0.1981
139004_139006,0.0814
53128_54024,0.414
102074_102108,0.1453
77490_77168,0.2252
48192_48096,0.205
99972172_355,0.1984
138018_138020,0.1601
117002_105474,0.2571
93025_93023,0.1611
79244_79247,0.256
87010_87012,0.0627
87018_87900,1.1858
106404_106406,0.0718
99972787_99972786,0.6679
77400_77402,0.265
84142_84146,0.3221
149045_136110,2.547
92156_80236,0.139
99970466_99970713,0.209
39068_39064,0.2411
1000028_37006,0.1511
138076_138054,0.152
107132_107134,0.174
35010_32012,0.2537
10054_10056,0.1981
70284_70089,0.3053
60162_59254,0.2674
42015_42017,0.3201
99972114_99971599,0.356
158190_158192,0.161
158060_158062,0.065
69320_69194,0.167
165048_165050,0.1705
16010_99969913,0.3082
140098_140076,0.139
146040_158084,0.1974
115132_115136,0.202
99972241_99972270,0.2417
71288_71300,0.1399
72226_72228,0.3342
67052_67055,0.188
176084_176196,0.39
99972245_99971897,0.7684
66332_66336,0.2524
63034_63036,0.1404
122140_122142,0.0778
26045_26047,0.2319
59220_59216,0.1501
85442_85440,0.276
154005_154004,0.1889
146404_146228,0.1077
96067_96070,0.485
59348_52220,0.233
47135_47136,0.0839
48150_48140,0.2481
99970468_108082,0.5189
41162_99970556,0.3072
146234_146378,0.214
77476_77130,0.1911
115138_102224,0.1351
99971924_121011,0.8576
106430_106366,0.3421
99972767_99972769,0.7579
73128_999916,0.3003
86072_86074,0.1335
60360_99971996,0.1763
102544_102052,0.1871
98150_98152,0.2094
72080_72264,0.1671
117034_117036,0.1171
128082_128084,0.217
99906_99200,0.278
114071_114068,0.1921
21962_21012,0.1871
770627_70050,0.1831
99971954_99972177,0.301
99971976_99972114,0.5262
94033_94035,0.166
106086_106088,0.1817
84454_84378,0.2271
103083_103084,0.131
152020_152028,0.2595
55024_55026,0.2477
79278_79280,0.1329
106014_106016,0.269
99972305_99971518,0.1214
128076_128078,0.1428
60284_60340,0.1472
71142_71180,0.1973
54234_54236,0.1097
122010_122011,0.1571
145064_145070,0.3062
84388_84901,0.5828
122064_122384,0.1399
15048_15030,0.3742
52025_59021,0.2532
99971930_59374,0.534
54142_54204,0.3474
98244_98242,0.2748
99973395_99970618,0.4013
78356_78358,0.1339
69076_69080,0.2613
129100_129002,0.2788
148010_99972351,0.3171
60218_60320,0.2264
183014_183970,0.3371
108012_108014,0.1361
115184_115038,0.139
114238_114080,0.1499
99973233_99973232,0.1516
138055_138070,0.2395
71028_72278,0.5065
83090_82070,0.296
93094_103130,0.1834
165056_99970623,0.9615
158188_158303,0.108
70224_70226,0.3424
137030_138350,0.193
121066_98092,0.1414
73074_87081,1.7651
53090_53094,0.1409
66138_66140,0.2569
60292_60138,0.1787
99969906_999902,0.3031
184032_184034,0.2528
165017_99970397,0.4901
99970124_191084,0.4971
42084_42166,0.3182
67278_79026,0.5175
60200_60202,0.1552
105426_105428,0.2241
184061_193026,0.255
115222_115204,0.093
48081_48076,0.2798
99970462_99970464,0.2806
99970616_117034,0.1951
99972837_99972840,0.2324
106272_99972074,0.1844
97241_97058,0.3064
106030_106032,0.325
99222_99224,0.1611
182032_182030,0.2441
99971658_99971659,0.1332
117123_117125,0.09
53118_53120,0.2337
129286_129288,0.0786
99973153_99973154,0.2203
71332_71354,0.471
99973381_99973383,0.399
166106_166110,0.1361
122344_122342,0.072
14046_21080,0.4209
114900_114082,0.5872
64010_64012,0.3578
129098_129100,0.18
46080_46082,0.2507
20010_20012,0.2393
62022_62024,0.3232
99970465_99970463,0.3476
60182_61200,0.3579
159002_159004,0.2427
98011_98013,0.1634
115180_125244,0.2092
146380_146334,0.3313
106164_106166,0.178
144118_144142,0.104
114088_114089,0.0771
125208_125224,0.0863
60078_60366,0.4769
79352_78380,0.1426
42050_42052,0.2612
44028_44046,0.2587
83032_83030,0.2738
64072_63094,0.1109
106402_85270,0.145
15076_15086,0.0524
184030_184032,0.1875
69284_69286,0.1017
47328_47135,0.3215
122304_122306,0.093
79250_99971943,0.154
87076_73078,0.3112
78478_78474,0.156
99970091_99971910,0.4778
77254_78320,0.3457
99970482_99970484,0.2896
69238_69240,0.2095
99970150_99970152,0.2578
184036_99971296,0.6008
99972599_99972600,0.6059
102174_102046,0.2588
109030_109040,0.4107
70064_70116,0.2993
72058_72060,0.3479
52166_52168,0.1503
99971627_37002,0.1815
99973067_99973068,0.6318
107050_107052,0.1619
130142_130204,0.111
99972060_99972430,1.1657
36114_36050,0.422
87014_87016,0.3078
144070_144072,0.2179
66268_99972278,0.6884
99973362_85124,0.3559
82086_94002,0.1723
49012_49014,0.185
69325_69326,0.1489
85541_85068,0.227
99972141_176192,0.1495
99972178_99971955,0.3626
106040_106042,0.281
166207_166204,0.1649
166182_166178,0.3068
153126_153016,0.3098
153132_153126,0.4572
111022_111038,0.7918
78290_78292,0.1985
73046_73050,0.214
99971539_144140,0.2278
153037_153036,0.3459
55208_55190,0.2452
86178_72150,0.2132
136060_136062,0.191
176222_176124,0.196
92080_92078,0.116
97092_97256,0.3307
113148_113150,0.159
99970509_99970510,0.1218
42017_42019,0.2627
97104_97106,0.9077
125220_126106,0.1524
106212_106208,0.1481
87004_87006,0.3267
56016_56020,0.3058
99972705_99972518,0.3881
109012_109014,0.4501
59266_59310,0.5486
99522_113032,0.1082
63002_63004,0.452
122318_122319,0.1575
128114_127044,0.1857
52036_52038,0.17
66003_66570,0.1954
73070_73170,0.4302
99971288_67158,0.0307
99973251_71312,0.1213
99282_99280,0.1371
77294_77296,0.1041
102218_102214,0.198
60344_99969885,0.3296
35046_35047,0.1954
26086_27014,0.3859
84173_84170,0.2694
85256_85258,0.2701
88038_88040,0.3051
66085_66078,0.1581
47170_46118,0.278
77321_77322,0.1748
77296_78350,0.2503
137078_137092,0.062
102004_93182,0.604
184082_99971363,0.1511
99972189_164028,0.2783
67134_99971215,0.1732
85385_99973315,0.256
99972622_99972624,0.4927
107016_107018,0.108
122282_122284,0.1455
117042_117024,0.2711
103202_103104,0.0961
130208_130196,0.4129
99400_99402,0.2306
99972531_99972532,0.3963
107146_108002,0.1913
182030_182028,0.4136
133091_133140,0.3414
999971_999922,0.0878
59072_59068,0.1827
32053_32051,0.2418
79202_79204,0.1097
55192_55010,0.298
108122_131075,0.1868
