A,B,A_B
500211,614,500211_614
617,500210,617_500210
500210,617,500210_617
617,500209,617_500209
500209,617,500209_617
617,500208,617_500208
500208,617,500208_617
617,500216,617_500216
500216,617,500216_617
671,500215,671_500215
500215,671,500215_671
676,500213,676_500213
500213,676,500213_676
676,500205,676_500205
500205,676,500205_676
670,500221,670_500221
500221,670,500221_670
670,500215,670_500215
500215,670,500215_670
677,500221,677_500221
500221,677,500221_677
677,500222,677_500222
500222,677,500222_677
615,500219,615_500219
500219,615,500219_615
616,500216,616_500216
500216,616,500216_616
616,500219,616_500219
500219,616,500219_616
616,500218,616_500218
500218,616,500218_616
618,500209,618_500209
500209,618,500209_618
619,500218,619_500218
500218,619,500218_619
619,500217,619_500217
500217,619,500217_619
685,500213,685_500213
500213,685,500213_685
685,50976,685_50976
50976,685,50976_685
699,500224,699_500224
500224,699,500224_699
698,500224,698_500224
500224,698,500224_698
668,50971,668_50971
50971,668,50971_668
668,500225,668_500225
500225,668,500225_668
666,234072,666_234072
666,500225,666_500225
500225,666,500225_666
756,50826,756_50826
50826,756,50826_756
500241,756,500241_756
756,500233,756_500233
500233,756,500233_756
757,500228,757_500228
500228,757,500228_757
758,500229,758_500229
500229,758,500229_758
758,500228,758_500228
500228,758,500228_758
758,500227,758_500227
500227,758,500227_758
758,500232,758_500232
500232,758,500232_758
765,500230,765_500230
500230,765,500230_765
765,500231,765_500231
500231,765,500231_765
765,500226,765_500226
500226,765,500226_765
770,500230,770_500230
500230,770,500230_770
766,500238,766_500238
500238,766,500238_766
766,500231,766_500231
500231,766,500231_766
750,500232,750_500232
750,500236,750_500236
500236,750,500236_750
500232,750,500232_750
750,500239,750_500239
500239,750,500239_750
751,500236,751_500236
751,500235,751_500235
500235,751,500235_751
500236,751,500236_751
752,500234,752_500234
500233,752,500233_752
752,500233,752_500233
500233,752,500233_752
500234,752,500234_752
752,500235,752_500235
500235,752,500235_752
747,500240,747_500240
500240,747,500240_747
747,340456,747_340456
340456,747,340456_747
748,280807,748_280807
280807,748,280807_748
401276,401277,401276_401277
401290,401291,401290_401291
401278,401279,401278_401279
401279,401280,401279_401280
401277,401278,401277_401278
401274,401275,401274_401275
401275,401276,401275_401276
401285,401286,401285_401286
401286,401287,401286_401287
401289,401290,401289_401290
401291,401292,401291_401292
401282,401283,401282_401283
401287,401288,401287_401288
401288,401289,401288_401289
401280,401281,401280_401281
401281,401282,401281_401282
401284,401285,401284_401285
401283,401284,401283_401284
401250,401251,401250_401251
401109,401110,401109_401110
401103,401104,401103_401104
401096,401097,401096_401097
401122,401123,401122_401123
401088,401089,401088_401089
401097,401098,401097_401098
401102,401103,401102_401103
401095,401096,401095_401096
401094,401095,401094_401095
401083,401084,401083_401084
401082,401083,401082_401083
401079,401080,401079_401080
401078,401079,401078_401079
401108,401109,401108_401109
401107,401108,401107_401108
401099,401100,401099_401100
401098,401099,401098_401099
401104,401105,401104_401105
401090,401091,401090_401091
401089,401090,401089_401090
401093,401094,401093_401094
401121,401122,401121_401122
401120,401121,401120_401121
401081,401082,401081_401082
401080,401081,401080_401081
401077,401078,401077_401078
401076,401077,401076_401077
401087,401088,401087_401088
401101,401102,401101_401102
401100,401101,401100_401101
401106,401107,401106_401107
401105,401106,401105_401106
401115,401116,401115_401116
401114,401115,401114_401115
401119,401120,401119_401120
401118,401119,401118_401119
401111,401112,401111_401112
401110,401111,401110_401111
401117,401118,401117_401118
401116,401117,401116_401117
401113,401114,401113_401114
401112,401113,401112_401113
401092,401093,401092_401093
401091,401092,401091_401092
401086,401087,401086_401087
401085,401086,401085_401086
401084,401085,401084_401085
401124,401125,401124_401125
401123,401124,401123_401124
401246,232901,401246_232901
50568,401129,50568_401129
401267,51131,401267_51131
51128,401103,51128_401103
401078,50942,401078_50942
50944,401293,50944_401293
51771,401078,51771_401078
51089,401084,51089_401084
401087,256662,401087_256662
401103,51456,401103_51456
401118,50754,401118_50754
50754,401118,50754_401118
401078,51771,401078_51771
401084,51089,401084_51089
256662,401087,256662_401087
51456,401103,51456_401103
608,500189,608_500189
500189,608,500189_608
50816,50817,50816_50817
50817,50816,50817_50816
