A,B,A_B
234033,50958,234033_50958
50996,234039,50996_234039
234039,51055,234039_51055
233434,234041,233434_234041
50951,234042,50951_234042
234042,50844,234042_50844
50965,234043,50965_234043
234043,51008,234043_51008
234044,50748,234044_50748
51065,234046,51065_234046
234046,233503,234046_233503
50832,234054,50832_234054
222926,234071,222926_234071
234071,50960,234071_50960
50541,50550,50541_50550
50948,234094,50948_234094
48349,234095,48349_234095
234124,51859,234124_51859
234125,232903,234125_232903
234125,234124,234125_234124
51773,234413,51773_234413
234423,51770,234423_51770
234423,256725,234423_256725
235911,50817,235911_50817
246191,50559,246191_50559
50909,253365,50909_253365
253365,50912,253365_50912
51745,253809,51745_253809
50821,254819,50821_254819
254819,50832,254819_50832
254964,235911,254964_235911
234095,48712,234095_48712
233507,233983,233507_233983
256674,51113,256674_51113
209115,256676,209115_256676
51091,256718,51091_256718
256718,216633,256718_216633
50944,256720,50944_256720
256720,50948,256720_50948
50568,257640,50568_257640
257640,50563,257640_50563
48284,261064,48284_261064
261064,48339,261064_48339
50569,261197,50569_261197
261197,261198,261197_261198
261198,50571,261198_50571
50743,261213,50743_261213
51056,261219,51056_261219
261219,232872,261219_232872
261237,50952,261237_50952
261243,234053,261243_234053
50817,500278,50817_500278
233887,261266,233887_261266
261266,48344,261266_48344
261267,201419,261267_201419
50833,261275,50833_261275
261275,233939,261275_233939
51120,261443,51120_261443
261443,213025,261443_213025
234041,268635,234041_268635
268635,50844,268635_50844
50883,268780,50883_268780
268780,50880,268780_50880
51114,269984,51114_269984
269984,256674,269984_256674
233523,269985,233523_269985
269985,261267,269985_261267
51024,269993,51024_269993
269993,51021,269993_51021
233517,270074,233517_270074
51128,270079,51128_270079
270079,51131,270079_51131
51859,270131,51859_270131
51107,270132,51107_270132
270132,233524,270132_233524
51088,270133,51088_270133
270133,51093,270133_51093
50929,270193,50929_270193
270193,233500,270193_233500
270194,51098,270194_51098
51113,270194,51113_270194
50960,270752,50960_270752
270752,50956,270752_50956
51007,270753,51007_270753
270753,50965,270753_50965
50965,270754,50965_270754
270754,270755,270754_270755
270755,50964,270755_50964
50964,270756,50964_270756
270756,270757,270756_270757
270757,50955,270757_50955
50964,270758,50964_270758
270758,50970,270758_50970
270844,234101,270844_234101
51021,273630,51021_273630
273630,51014,273630_51014
274223,51752,274223_51752
274223,51750,274223_51750
51765,274226,51765_274226
51764,274226,51764_274226
51861,275374,51861_275374
275374,275377,275374_275377
48344,275383,48344_275383
275383,232729,275383_232729
51765,276213,51765_276213
51765,276215,51765_276215
48283,276252,48283_276252
276252,233842,276252_233842
233933,276255,233933_276255
276255,233968,276255_233968
233902,276267,233902_276267
276267,50914,276267_50914
234054,276268,234054_276268
276268,261243,276268_261243
234055,276601,234055_276601
276601,225734,276601_225734
224859,276271,224859_276271
276271,50842,276271_50842
50914,276279,50914_276279
276280,50994,276280_50994
50844,276948,50844_276948
276948,279305,276948_279305
276287,233903,276287_233903
276287,276279,276287_276279
15662,276314,15662_276314
276314,233973,276314_233973
279305,276315,279305_276315
276316,233963,276316_233963
261213,276580,261213_276580
276580,261237,276580_261237
227882,276589,227882_276589
276590,50939,276590_50939
276591,233989,276591_233989
276592,51125,276592_51125
234053,276594,234053_276594
276645,48713,276645_48713
51000,276692,51000_276692
51031,276693,51031_276693
51031,276695,51031_276695
51031,276699,51031_276699
172788,283804,172788_283804
50970,276776,50970_276776
276776,51010,276776_51010
276589,276924,276589_276924
276924,276316,276924_276316
233963,276977,233963_276977
276977,227883,276977_227883
51750,277160,51750_277160
48249,279428,48249_279428
279428,233454,279428_233454
50928,280156,50928_280156
51057,280158,51057_280158
280158,51058,280158_51058
280156,280159,280156_280159
280159,51058,280159_51058
50928,280161,50928_280161
280161,233501,280161_233501
233498,280177,233498_280177
280177,50928,280177_50928
276594,280198,276594_280198
280198,233480,280198_233480
50830,228219,50830_228219
276597,280971,276597_280971
280971,50833,280971_50833
280972,270844,280972_270844
234101,280974,234101_280974
280974,50889,280974_50889
50889,281263,50889_281263
280807,281277,280807_281277
281277,340425,281277_340425
340425,340426,340425_340426
281282,50865,281282_50865
50842,281283,50842_281283
281283,340429,281283_340429
281286,13230,281286_13230
281294,50603,281294_50603
