stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
801,7.51666666667,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_073100,500062
27,7.15,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_070900,233006
28,7.2,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_071200,281207
485,7.25,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_071500,48047
470,7.26666666667,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_071600,48276
796,7.28333333333,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_071700,50832
797,7.3,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_071800,281277
201,7.31666666667,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_071900,50953
798,7.35,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_072100,300648
799,7.4,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_072400,286241
204,7.43333333333,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_072600,500053
185,7.48333333333,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_072900,80538
206,7.53333333333,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_073200,81307
800,7.6,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_073600,81440
232,7.65,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_073900,500061
801,7.68333333333,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_074100,500062
27,7.31666666667,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_071900,233006
28,7.36666666667,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_072200,281207
485,7.41666666667,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_072500,48047
470,7.43333333333,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_072600,48276
796,7.45,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_072700,50832
797,7.46666666667,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_072800,281277
201,7.48333333333,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_072900,50953
798,7.51666666667,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_073100,300648
799,7.56666666667,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_073400,286241
204,7.6,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_073600,500053
185,7.65,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_073900,80538
206,7.7,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_074200,81307
800,7.76666666667,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_074600,81440
232,7.81666666667,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_074900,500061
801,7.85,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_075100,500062
27,7.48333333333,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_072900,233006
28,7.53333333333,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_073200,281207
485,7.58333333333,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_073500,48047
470,7.6,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_073600,48276
796,7.61666666667,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_073700,50832
797,7.63333333333,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_073800,281277
201,7.65,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_073900,50953
798,7.68333333333,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_074100,300648
799,7.73333333333,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_074400,286241
204,7.76666666667,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_074600,500053
185,7.81666666667,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_074900,80538
206,7.86666666667,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_075200,81307
800,7.93333333333,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_075600,81440
232,7.98333333333,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_075900,500061
801,8.01666666667,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_080100,500062
27,7.65,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_073900,233006
28,7.7,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_074200,281207
485,7.75,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_074500,48047
470,7.76666666667,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_074600,48276
796,7.78333333333,5,33.756179,-84.397215,False,rail,DOME-GWCC-PHILIPS ARENA-CNN STATION,2226512.26,1366419.839,796_074700,50832
797,7.8,5,33.753837,-84.391397,False,rail,FIVE POINTS STATION,2228278.684,1365563.756,797_074800,281277
201,7.81666666667,5,33.750143,-84.385882,False,rail,GEORGIA STATE STATION,2229952.062,1364216.02,201_074900,50953
798,7.85,5,33.749951,-84.375675,False,rail,KING MEMORIAL STATION,2233054.38,1364139.716,798_075100,300648
799,7.9,5,33.757451,-84.352762,True,rail,INMAN PARK-REYNOLDSTOWN STATION,2240023.816,1366855.382,799_075400,286241
204,7.93333333333,5,33.761866,-84.340456,True,rail,EDGEWOOD-CANDLER PARK STATION,2243766.662,1368455.332,204_075600,500053
185,7.98333333333,5,33.765241,-84.312937,True,rail,EAST LAKE STATION,2252131.768,1369670.404,185_075900,80538
206,8.03333333333,5,33.774681,-84.295319,False,rail,DECATUR STATION,2257490.17,1373098.181,206_080200,81307
800,8.1,5,33.775554,-84.281487,True,rail,AVONDALE STATION,2261693.611,1373410.874,800_080600,81440
232,8.15,5,33.772647,-84.251607,True,rail,KENSINGTON STATION,2270772.187,1372344.309,232_080900,500061
801,8.18333333333,5,33.769856,-84.228906,True,rail,INDIAN CREEK STATION,2277669.815,1371323.828,801_081100,500062
27,7.81666666667,5,33.754553,-84.469302,True,rail,HAMILTON E HOLMES STATION,2204600.891,1365884.834,27_074900,233006
28,7.86666666667,5,33.753328,-84.445329,True,rail,WEST LAKE STATION,2211886.02,1365418.557,28_075200,281207
485,7.91666666667,5,33.756478,-84.41723,True,rail,ASHBY STATION,2220429.306,1366542.827,485_075500,48047
470,7.93333333333,5,33.756613,-84.403902,False,rail,VINE CITY STATION,2224480.224,1366582.368,470_075600,48276
