stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
6935,7.40555555556,A,33.9702326,-84.2231058,False,grta,5515 Spalding Dr (N),2279472.429,1444234.618,6935_072420,330368
6933,7.43277777778,A,33.9753055,-84.2239274,False,grta,Triangle Pkwy at Metric Dr (N),2279224.371,1446080.682,6933_072558,94719
6931,7.48138888889,A,33.9809176,-84.2152161,False,grta,GA 141,2281866.226,1448121.452,6931_072853,285975
6928,7.61611111111,A,34.0171449,-84.190027,False,grta,GA 141@ State Br Corners ShpCtr (N),2289504.968,1461301.215,6928_073658,246984
6927,7.65583333333,A,34.0294378,-84.1866944,False,grta,GA 141 @ Medlock Br Pkwy (N),2290515.647,1465774.177,6927_073921,111180
10973355,7.69027777778,A,34.0401782,-84.1842949,False,grta,GA 141 @ Parsons Rd (N),2291243.283,1469682.298,10973355_074125,111284
6925,7.71666666667,A,34.0467209,-84.1781636,False,grta,GA 141 @ Abbotts Br ShpCtr (N),2293100.88,1472062.818,6925_074300,111323
6923,7.77222222222,A,34.0559828,-84.1698421,False,grta,Across from 11315 Johns Creek Pkwy (N),2295621.59,1475432.899,6923_074620,275467
6921,7.8125,A,34.0632101,-84.1645968,False,grta,JC Pkwy @ E Johns Crossing (N),2297210.18,1478062.797,6921_074845,112429
6917,7.83777777778,A,34.0682583,-84.1618609,False,grta,JC Pkwy @ Johns Creek Ct (N),2298038.645,1479899.79,6917_075016,125130
6974,7.85722222222,A,34.0717541,-84.1651071,False,grta,JC Pkwy @ Commerce Way (N),2297055.591,1481171.831,6974_075126,125135
6916,7.91638888889,A,34.067414,-84.1749179,False,grta,W Johns Crossing @ Emory Hospital,2294084.619,1479592.629,6916_075459,246791
6942,8.0,A,33.9024615,-84.280586,True,grta,Doraville MARTA Station,2262018.52,1419588.683,6942_080000,90005
6939,8.25,A,33.9517705,-84.2342806,False,grta,Publix,2276080.085,1437518.692,6939_081500,94559
6937,8.30138888889,A,33.9637523,-84.2245311,False,grta,5664 Peachtree Parkway (N),2279038.984,1441876.81,6937_081805,210003
6935,8.32861111111,A,33.9702326,-84.2231058,False,grta,5515 Spalding Dr (N),2279472.429,1444234.618,6935_081943,330368
6933,8.35805555556,A,33.9753055,-84.2239274,False,grta,Triangle Pkwy at Metric Dr (N),2279224.371,1446080.682,6933_082129,94719
6931,8.41111111111,A,33.9809176,-84.2152161,False,grta,GA 141,2281866.226,1448121.452,6931_082440,285975
6928,8.55722222222,A,34.0171449,-84.190027,False,grta,GA 141@ State Br Corners ShpCtr (N),2289504.968,1461301.215,6928_083326,246984
6927,8.60055555556,A,34.0294378,-84.1866944,False,grta,GA 141 @ Medlock Br Pkwy (N),2290515.647,1465774.177,6927_083602,111180
10973355,8.63805555556,A,34.0401782,-84.1842949,False,grta,GA 141 @ Parsons Rd (N),2291243.283,1469682.298,10973355_083817,111284
6925,8.66666666667,A,34.0467209,-84.1781636,False,grta,GA 141 @ Abbotts Br ShpCtr (N),2293100.88,1472062.818,6925_084000,111323
6923,8.72222222222,A,34.0559828,-84.1698421,False,grta,Across from 11315 Johns Creek Pkwy (N),2295621.59,1475432.899,6923_084320,275467
6921,8.7625,A,34.0632101,-84.1645968,False,grta,JC Pkwy @ E Johns Crossing (N),2297210.18,1478062.797,6921_084545,112429
6917,8.78777777778,A,34.0682583,-84.1618609,False,grta,JC Pkwy @ Johns Creek Ct (N),2298038.645,1479899.79,6917_084716,125130
6974,8.80722222222,A,34.0717541,-84.1651071,False,grta,JC Pkwy @ Commerce Way (N),2297055.591,1481171.831,6974_084826,125135
6916,8.86638888889,A,34.067414,-84.1749179,False,grta,W Johns Crossing @ Emory Hospital,2294084.619,1479592.629,6916_085159,246791
Sugarloaf Mills P&R (GCT),6.16666666667,A,33.98331276,-84.08417535,True,grta,Sugarloaf Mills P&R (GCT),2321588.766,1448999.58,Sugarloaf Mills P&R (GCT)_061000,500098
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,6.26666666667,A,33.9842748,-84.0794849,True,grta,Sugarloaf Mills P&R,2323010.276,1449350.825,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85_061600,302401
STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,6.83333333333,A,33.82128296,-84.36898249,False,grta,Lindbergh Center MARTA Station,2235139.565,1390091.195,STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9_065000,201584
Sugarloaf Mills P&R (GCT),6.66666666667,A,33.98331276,-84.08417535,True,grta,Sugarloaf Mills P&R (GCT),2321588.766,1448999.58,Sugarloaf Mills P&R (GCT)_064000,500098
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,6.76666666667,A,33.9842748,-84.0794849,True,grta,Sugarloaf Mills P&R,2323010.276,1449350.825,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85_064600,302401
STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9,7.4,A,33.82128296,-84.36898249,False,grta,Lindbergh Center MARTA Station,2235139.565,1390091.195,STOP_8e13caee-d611-4ee5-a524-c62aa6e4eae9_072400,201584
Sugarloaf Mills P&R (GCT),7.16666666667,A,33.98331276,-84.08417535,True,grta,Sugarloaf Mills P&R (GCT),2321588.766,1448999.58,Sugarloaf Mills P&R (GCT)_071000,500098
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,7.26666666667,A,33.9842748,-84.0794849,True,grta,Sugarloaf Mills P&R,2323010.276,1449350.825,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85_071600,302401
