dist,duration,route_id1,route_id2,service_id,stop1,stop2,stop_key1,stop_key2,stop_sequence1,stop_sequence2,thrs1,thrs2,trip_id1,trip_id2,type
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_074500,270_081400,3.0,10.0,7.75,8.23333333333,3764639.0,3767419.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_074500,270_082400,3.0,10.0,7.75,8.4,3764639.0,3767420.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_074500,270_083400,3.0,10.0,7.75,8.56666666667,3764639.0,3767421.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_074500,270_084400,3.0,10.0,7.75,8.73333333333,3764639.0,3767422.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_075500,270_080400,3.0,10.0,7.91666666667,8.06666666667,3764640.0,3767418.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_075500,270_081400,3.0,10.0,7.91666666667,8.23333333333,3764640.0,3767419.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_075500,270_082400,3.0,10.0,7.91666666667,8.4,3764640.0,3767420.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_075500,270_083400,3.0,10.0,7.91666666667,8.56666666667,3764640.0,3767421.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_075500,270_084400,3.0,10.0,7.91666666667,8.73333333333,3764640.0,3767422.0,transfer
1.6114014143,0.983333333333,10909.0,10912.0,5.0,485,270.0,485_075500,270_085400,3.0,10.0,7.91666666667,8.9,3764640.0,3767423.0,transfer
1.6114014143,0.15,10909.0,10912.0,5.0,485,270.0,485_080500,270_081400,3.0,10.0,8.08333333333,8.23333333333,3764641.0,3767419.0,transfer
1.6114014143,0.316666666667,10909.0,10912.0,5.0,485,270.0,485_080500,270_082400,3.0,10.0,8.08333333333,8.4,3764641.0,3767420.0,transfer
1.6114014143,0.483333333333,10909.0,10912.0,5.0,485,270.0,485_080500,270_083400,3.0,10.0,8.08333333333,8.56666666667,3764641.0,3767421.0,transfer
1.6114014143,0.65,10909.0,10912.0,5.0,485,270.0,485_080500,270_084400,3.0,10.0,8.08333333333,8.73333333333,3764641.0,3767422.0,transfer
1.6114014143,0.816666666667,10909.0,10912.0,5.0,485,270.0,485_080500,270_085400,3.0,10.0,8.08333333333,8.9,3764641.0,3767423.0,transfer
