,stopid,Station Name,Occupancy,Mile Post,Elevation,Grade_to_next_station,Mile_start,Mile_end,Station_start,Station_end,energy_consumption_kwh,duration (sec),energy_consumption_kwh_per_passenger,CO2,CH4,N2O,CO,VOC,NOx,PM10,PM2.5,SO2,CO2 equivalent,route
10,11,EAST LAKE STATION,100.0,10.0915,200,-0.0,10.0915,11.44167705,EAST LAKE STATION,DECATUR STATION,60.1482805791,123.0,0.117477110506,0.0685239016975,0.00102027468559,0.00109458295738,0.0603391508397,0.00127568838822,0.050798189669,0.00625091738353,0.00341703020264,0.229239286642,6.85803541206e-05,blue
11,12,DECATUR STATION,100.0,11.44167705,200,-0.0,11.44167705,12.3982777,DECATUR STATION,AVONDALE STATION,52.8650199976,105.0,0.103251992183,0.0602264503437,0.000896731230511,0.000962041630678,0.053032778079,0.00112121729009,0.0446471168725,0.00549400364071,0.00300326739611,0.2014810624,6.02760670318e-05,blue
12,13,AVONDALE STATION,100.0,12.3982777,200,-0.0,12.3982777,14.42854531,AVONDALE STATION,KENSINGTON STATION,71.823651193,168.0,0.140280568736,0.0818250624377,0.00121831999906,0.0013070522345,0.0720515712414,0.00152331200401,0.0606586160218,0.00746428169631,0.00408030924621,0.273736878345,8.18924728292e-05,blue
13,14,KENSINGTON STATION,100.0,14.42854531,200,-0.0,14.42854531,15.85,KENSINGTON STATION,INDIAN CREEK STATION,61.5459902875,126.0,0.12020701228,0.0701162418565,0.00104398355673,0.00112001858432,0.0617412959403,0.00130533249489,0.0519786244576,0.00639617453517,0.0034964342395,0.234566288069,7.01740061059e-05,blue
0,1,AIRPORT STATION,100.0,0.0,200,-0.0,0.0,0.874952505,AIRPORT STATION,COLLEGE PARK STATION,34.3233130348,96.0,0.0893836276949,0.0521370919931,0.000776286139917,0.00083282432741,0.0459096429156,0.000970620195344,0.0386503077356,0.004756072649,0.00259988140787,0.174418990746,5.21800443805e-05,gold
1,2,COLLEGE PARK STATION,100.0,0.874952505,200,-0.0,0.874952505,2.801699702,COLLEGE PARK STATION,EAST POINT STATION,51.4076669815,161.0,0.133874132764,0.0780882154309,0.00116268086716,0.00124736081375,0.0687610672038,0.00145374427338,0.057888413825,0.0071233974014,0.00389396668881,0.261235661675,7.81525472752e-05,gold
2,3,EAST POINT STATION,100.0,2.801699702,200,-0.0,2.801699702,4.850235615,EAST POINT STATION,LAKEWOOD-FT MCPHERSON STATION,50.3986083828,169.0,0.131246375997,0.0765554560223,0.00113985911322,0.00122287691419,0.0674113863061,0.00142520936321,0.0567521474825,0.00698357535107,0.00381753372071,0.256107981191,7.66185251249e-05,gold
3,4,LAKEWOOD-FT MCPHERSON STATION,100.0,4.850235615,200,-0.0,4.850235615,6.06650721,LAKEWOOD-FT MCPHERSON STATION,OAKLAND CITY STATION,45.3846837928,114.0,0.11818928071,0.0689393075657,0.00102645979883,0.00110121854251,0.0607049390788,0.00128342187142,0.0511061386555,0.00628881171964,0.00343774493666,0.230628981953,6.89961022148e-05,gold
4,5,OAKLAND CITY STATION,100.0,6.06650721,200,-0.0,6.06650721,7.68163685,OAKLAND CITY STATION,WEST END STATION,46.3132801233,141.0,0.120607500321,0.0703498448369,0.00104746174757,0.00112375009748,0.0619469965079,0.00130968140968,0.0521517991924,0.0064174843686,0.00350808314477,0.235347781523,7.04078015367e-05,gold
5,6,WEST END STATION,100.0,7.68163685,200,-0.0,7.68163685,9.351695687,WEST END STATION,GARNETT STATION,47.1047382372,137.0,0.122668589159,0.071552069239,0.00106536205817,0.00114295411694,0.0630056227353,0.00133206285136,0.0530430330785,0.00652715420975,0.00356803357068,0.239369692965,7.1611016374e-05,gold
6,7,GARNETT STATION,100.0,9.351695687,200,-0.0,9.351695687,9.779136798,GARNETT STATION,FIVE POINTS STATION,28.1538807418,66.0,0.073317397765,0.0427657280259,0.000636752850243,0.000683128600347,0.0376576296766,0.000796156396602,0.0317031212435,0.00390119397924,0.00213256660351,0.143068108244,4.2800959951e-05,gold
7,8,FIVE POINTS STATION,100.0,9.779136798,200,-0.0,9.779136798,10.28797751,FIVE POINTS STATION,PEACHTREE CENTER STATION,26.9202339512,64.0,0.0701047759145,0.0408918192881,0.00060885161285,0.000653195270263,0.0360075476003,0.000761270414365,0.030313953827,0.00373025145533,0.00203912179673,0.136799149653,4.09255074206e-05,gold
8,9,PEACHTREE CENTER STATION,100.0,10.28797751,200,-0.0,10.28797751,10.75400576,PEACHTREE CENTER STATION,CIVIC CENTER STATION,27.402419027,65.0,0.0713604662162,0.0416242581302,0.000619757133272,0.000664895057549,0.0366525012104,0.000774906002864,0.0308569259331,0.00379706631229,0.00207564577716,0.139249444418,4.16585496718e-05,gold
9,10,CIVIC CENTER STATION,100.0,10.75400576,200,-0.0,10.75400576,11.13546542,CIVIC CENTER STATION,NORTH AVENUE STATION,27.6167506769,62.0,0.0719186215544,0.0419498277783,0.000624604645776,0.000670095622307,0.0369391836032,0.000780967032802,0.0310982774663,0.00382676556937,0.00209188071553,0.140338602392,4.19843875357e-05,gold
10,11,NORTH AVENUE STATION,100.0,11.13546542,200,-0.0,11.13546542,11.78579231,NORTH AVENUE STATION,MIDTOWN STATION,28.8833006536,76.0,0.0752169287854,0.0438737164362,0.000653250050474,0.000700827318615,0.0386332758112,0.000816783475829,0.0325244960342,0.00400226738345,0.00218781783364,0.146774763389,4.39098611614e-05,gold
11,12,MIDTOWN STATION,100.0,11.78579231,200,-0.0,11.78579231,12.38516677,MIDTOWN STATION,ARTS CENTER STATION,31.9501277473,74.0,0.0832034576752,0.0485322249592,0.000722612100808,0.000775241120366,0.0427353546697,0.000903509495247,0.0359779450303,0.004427227889,0.00242012019716,0.162359298773,4.85722075291e-05,gold
12,13,ARTS CENTER STATION,100.0,12.38516677,200,-0.0,12.38516677,15.33841886,ARTS CENTER STATION,LINDBERGH CENTER STATION,61.088854937,228.0,0.159085559732,0.0927939341511,0.00138163910176,0.0014822661342,0.0817102799322,0.0017275161128,0.0687900681421,0.00846488891761,0.00462728577563,0.310432049877,9.28703810885e-05,gold
13,14,LINDBERGH CENTER STATION,100.0,15.33841886,200,-0.0,15.33841886,17.30717074,LINDBERGH CENTER STATION,LENOX STATION,50.9835013598,164.0,0.132769534791,0.0774439081049,0.00115308756558,0.00123706881634,0.0681937183522,0.00144174940219,0.0574107754399,0.00706462211621,0.00386183749683,0.259080201345,7.75077091459e-05,gold
14,15,LENOX STATION,100.0,17.30717074,200,-0.0,17.30717074,19.04893579,LENOX STATION,BROOKHAVEN-OGLETHORPE STATION,46.912494785,149.0,0.122167955169,0.07126005155,0.00106101411171,0.00113828950244,0.0627484847302,0.00132662644792,0.0528265543085,0.00650051564418,0.00355347174279,0.238392779435,7.13187581104e-05,gold
15,16,BROOKHAVEN-OGLETHORPE STATION,100.0,19.04893579,200,-0.0,19.04893579,22.03599046,BROOKHAVEN-OGLETHORPE STATION,CHAMBLEE STATION,61.4638507396,231.0,0.160062111301,0.0933635525512,0.00139012033561,0.00149136507016,0.0822118609823,0.00173812052324,0.0692123380773,0.00851685089688,0.00465569051076,0.3123376465,9.34404687605e-05,gold
16,17,CHAMBLEE STATION,100.0,22.03599046,200,-0.0,22.03599046,24.15,CHAMBLEE STATION,DORAVILLE STATION,51.2915278613,179.0,0.133571687139,0.0779118001767,0.001160054163,0.00124454280243,0.0686057236467,0.00145046000489,0.0577576335378,0.00710730437178,0.00388516952115,0.260645483562,7.79759866838e-05,gold
0,1,BANKHEAD STATION,100.0,0.0,200,-0.0,0.0,1.616993753,BANKHEAD STATION,ASHBY STATION,15.8032508465,141.0,0.123462897238,0.072015385782,0.00107226052904,0.00115035501472,0.0634135990192,0.00134068827285,0.053386499242,0.00656941907443,0.00359113743053,0.240919668246,7.20747146136e-05,green
1,2,ASHBY STATION,100.0,1.616993753,200,-0.0,1.616993753,2.388053027,ASHBY STATION,VINE CITY STATION,10.8740364464,82.0,0.0849534097377,0.0495529645959,0.00073781022564,0.000791546149453,0.0436341733503,0.000922512290911,0.0367346404955,0.00452034224737,0.0024710206579,0.165774072602,4.95937880875e-05,green
2,3,VINE CITY STATION,100.0,2.388053027,200,-0.0,2.388053027,2.780013854,VINE CITY STATION,DOME-GWCC-PHILIPS ARENA-CNN STATION,8.4606935616,64.0,0.06609916845,0.0385553653954,0.000574063390031,0.000615873364356,0.0339501684908,0.000717773371338,0.0285818920931,0.00351711443465,0.00192261159634,0.128982796375,3.85871286743e-05,green
3,4,DOME-GWCC-PHILIPS ARENA-CNN STATION,100.0,2.780013854,200,-0.0,2.780013854,3.177069923,DOME-GWCC-PHILIPS ARENA-CNN STATION,FIVE POINTS STATION,8.64979356154,59.0,0.0675765121995,0.0394170937562,0.000586893944196,0.000629638388737,0.0347089687963,0.000733815903016,0.0292207092011,0.00359572339673,0.00196558276059,0.131865615214,3.94495669575e-05,green
4,5,FIVE POINTS STATION,100.0,3.177069923,200,-0.0,3.177069923,3.625886196,FIVE POINTS STATION,GEORGIA STATE STATION,8.87504877696,59.0,0.06933631857,0.0404435813691,0.000602177652517,0.000646035234498,0.0356128488933,0.000752925706983,0.0299816657602,0.0036893620995,0.00201676985136,0.135299618274,4.04769002274e-05,green
5,6,GEORGIA STATE STATION,100.0,3.625886196,200,-0.0,3.625886196,4.758894077,GEORGIA STATE STATION,KING MEMORIAL STATION,13.6773192795,120.0,0.106854056871,0.0623275194417,0.000928014732474,0.000995603561185,0.0548828876332,0.00116033224683,0.0462046829757,0.00568566828652,0.00310803983883,0.208509961357,6.2378867065e-05,green
6,7,KING MEMORIAL STATION,100.0,4.758894077,200,-0.0,4.758894077,6.318535287,KING MEMORIAL STATION,INMAN PARK-REYNOLDSTOWN STATION,15.3377540235,137.0,0.119826203309,0.069894117594,0.00104067627625,0.00111647042921,0.0615457030297,0.00130119727586,0.0518139591344,0.00637591181838,0.00348535773488,0.233823195423,6.99516988496e-05,green
7,8,INMAN PARK-REYNOLDSTOWN STATION,100.0,6.318535287,200,-0.0,6.318535287,7.21,INMAN PARK-REYNOLDSTOWN STATION,EDGEWOOD-CANDLER PARK STATION,11.6559804088,95.0,0.091062346944,0.0531162818311,0.000790865616265,0.000848465650834,0.0467718746606,0.000988849471192,0.0393762014731,0.00484539673342,0.00264870993584,0.177694764227,5.31600409099e-05,green
0,1,AIRPORT STATION,100.0,0.0,200,-0.0,0.0,0.874952505,AIRPORT STATION,COLLEGE PARK STATION,34.488593261,89.0,0.0898140449505,0.0523881525579,0.000780024262418,0.000836834703479,0.0461307158684,0.000975294112609,0.0388364241398,0.00477897500584,0.00261240085745,0.175258886656,5.24313117779e-05,red
1,2,COLLEGE PARK STATION,100.0,0.874952505,200,-0.0,0.874952505,2.801699702,COLLEGE PARK STATION,EAST POINT STATION,51.2389530819,161.0,0.133434773651,0.0778319391181,0.00115886508569,0.00124326712268,0.0685354014914,0.00144897325614,0.0576984308786,0.00710001925131,0.00388118714942,0.260378317046,7.78960598328e-05,red
2,3,EAST POINT STATION,100.0,2.801699702,200,-0.0,2.801699702,4.850235615,EAST POINT STATION,LAKEWOOD-FT MCPHERSON STATION,51.271705699,169.0,0.133520066924,0.0778816903239,0.00115960584759,0.00124406183548,0.0685792102272,0.00144989945902,0.0577353124794,0.0071045576776,0.00388366805562,0.260544754313,7.79458520254e-05,red
3,4,LAKEWOOD-FT MCPHERSON STATION,100.0,4.850235615,200,-0.0,4.850235615,6.06650721,LAKEWOOD-FT MCPHERSON STATION,OAKLAND CITY STATION,45.2856413317,114.0,0.117931357635,0.0687888621265,0.00102421976769,0.00109881536625,0.060572463405,0.00128062107498,0.0509946103308,0.00627508771987,0.00343024278636,0.230125683041,6.88455328333e-05,red
4,5,OAKLAND CITY STATION,100.0,6.06650721,200,-0.0,6.06650721,7.68163685,OAKLAND CITY STATION,WEST END STATION,48.1984596818,141.0,0.125516822088,0.07321343146,0.00109009862126,0.00116949228432,0.0644685456449,0.00136299192051,0.0542746353533,0.00667870772217,0.00365087947913,0.24492760022,7.32737472841e-05,red
5,6,WEST END STATION,100.0,7.68163685,200,-0.0,7.68163685,9.351695687,WEST END STATION,GARNETT STATION,49.3548286813,144.0,0.128528199691,0.0749699552794,0.00111625207638,0.0011975505383,0.0660152636961,0.00139569258385,0.0555767828949,0.00683894210763,0.0037384707399,0.250803860289,7.50317181902e-05,red
6,7,GARNETT STATION,100.0,9.351695687,200,-0.0,9.351695687,9.779136798,GARNETT STATION,FIVE POINTS STATION,28.1538175623,66.0,0.0733172332351,0.0427656320563,0.000636751421321,0.000683127067354,0.03765754517,0.000796154609966,0.0317030500992,0.00390118522466,0.00213256181787,0.143067787189,4.28008639023e-05,red
7,8,FIVE POINTS STATION,100.0,9.779136798,200,-0.0,9.779136798,10.28797751,FIVE POINTS STATION,PEACHTREE CENTER STATION,26.8992461731,64.0,0.0700501202424,0.0408599388657,0.00060837693486,0.0006526860207,0.0359794750947,0.000760676906353,0.0302903202086,0.00372734324547,0.00203753203953,0.136692497155,4.0893600734e-05,red
8,9,PEACHTREE CENTER STATION,100.0,10.28797751,200,-0.0,10.28797751,10.75400576,PEACHTREE CENTER STATION,CIVIC CENTER STATION,27.2617073861,65.0,0.0709940296513,0.0414105172317,0.000616574675435,0.00066148081611,0.0364642903234,0.000770926854341,0.0306984753716,0.0037775683464,0.00206498731949,0.138534397407,4.1444632686e-05,red
9,10,CIVIC CENTER STATION,100.0,10.75400576,200,-0.0,10.75400576,11.13546542,CIVIC CENTER STATION,NORTH AVENUE STATION,27.6167430837,62.0,0.0719186017804,0.0419498162442,0.000624604474042,0.000670095438065,0.0369391734468,0.000780966818076,0.0310982689158,0.00382676451721,0.00209188014037,0.140338563806,4.19843759922e-05,red
10,11,NORTH AVENUE STATION,100.0,11.13546542,200,-0.0,11.13546542,11.78579231,NORTH AVENUE STATION,MIDTOWN STATION,29.4290556686,76.0,0.0766381658036,0.0447027179779,0.000665593324374,0.000714069573314,0.0393632583112,0.000832216742388,0.0331390520724,0.00407789092531,0.00222915703406,0.149548098202,4.47395456641e-05,red
11,12,MIDTOWN STATION,100.0,11.78579231,200,-0.0,11.78579231,12.38516677,MIDTOWN STATION,ARTS CENTER STATION,31.0037401602,74.0,0.0807389066671,0.0470946627798,0.00070120776941,0.000752277876553,0.0414695002885,0.000876746842594,0.0349122503684,0.00429608996203,0.00234843435816,0.157550090302,4.7133461035e-05,red
12,13,ARTS CENTER STATION,100.0,12.38516677,200,-0.0,12.38516677,15.33841886,ARTS CENTER STATION,LINDBERGH CENTER STATION,59.4375515001,228.0,0.154785290365,0.0902856052171,0.00134429177549,0.00144219874115,0.0795015551785,0.00168081932502,0.066930591875,0.0082360730366,0.00450220481099,0.302040707276,9.03599857041e-05,red
13,14,LINDBERGH CENTER STATION,100.0,15.33841886,200,-0.0,15.33841886,17.635876,LINDBERGH CENTER STATION,BUCKHEAD STATION,55.7184041305,185.0,0.145100010757,0.0846362225847,0.00126017627788,0.00135195697447,0.0745269559165,0.00157564650727,0.0627425873486,0.0077207225789,0.00422049126866,0.283141309948,8.47059489097e-05,red
14,15,BUCKHEAD STATION,100.0,17.635876,200,-0.0,17.635876,22.6795444,BUCKHEAD STATION,MEDICAL CENTER STATION,79.5799887135,366.0,0.207239553941,0.12088195531,0.00179985079501,0.00193093686814,0.106443362893,0.00225042215803,0.0896123008362,0.0110271466902,0.00602793013847,0.404397480538,0.000120981542156,red
15,16,MEDICAL CENTER STATION,100.0,22.6795444,200,-0.0,22.6795444,23.69026647,MEDICAL CENTER STATION,DUNWOODY STATION,41.9279198896,98.0,0.109187291379,0.063688485262,0.00094827859574,0.00101734327471,0.0560812946107,0.00118566892865,0.0472135951678,0.00580981890687,0.00317590610443,0.21306292501,6.37409540973e-05,red
16,17,DUNWOODY STATION,100.0,23.69026647,200,-0.0,23.69026647,24.65941882,DUNWOODY STATION,SANDY SPRINGS STATION,38.9028339293,98.0,0.101309463358,0.0590933814957,0.000879860599475,0.000943942284028,0.0520350472078,0.00110012329607,0.043807149433,0.00539064233781,0.00294676549853,0.197690503368,5.91420647214e-05,red
17,18,SANDY SPRINGS STATION,100.0,24.65941882,200,-0.0,24.65941882,25.86,SANDY SPRINGS STATION,NORTH SPRINGS STATION,45.0944969665,119.0,0.11743358585,0.06849851395,0.00101989667915,0.00109417742011,0.0603167954996,0.00127521575234,0.0507793692051,0.0062486014513,0.0034157642108,0.229154354684,6.85549454577e-05,red
