road type,fuel type,avg speed mph,energy_kjpermile,energy_kjperhr,energy_kwhpermile,energy_kwhperhr
local,cng,23,29113.89785,669619.6506,8.087200317,186.0056073
local,cng,24,28422.27455,682134.5891,7.895082579,189.4819819
local,cng,25,28018.11711,700452.9278,7.782816536,194.5704134
local,cng,26,27868.31093,724576.0842,7.741203673,201.2712955
local,cng,27,27729.59104,748698.958,7.702670339,207.9720991
local,cng,28,27600.78056,772821.8557,7.666889623,214.6729094
local,cng,29,27480.85279,796944.731,7.633576327,221.3737135
local,cng,30,27368.91306,821067.3919,7.602481933,228.074458
local,cng,31,27264.20544,845190.3686,7.573396458,234.7752902
local,cng,32,26364.93256,843677.8418,7.323598235,234.3551435
local,cng,33,24743.30526,816529.0734,6.873145847,226.813813
local,cng,34,23217.05997,789380.0391,6.449188485,219.2724085
local,cng,35,22495.81427,787353.4996,6.248842298,218.7094804
local,cng,36,22279.85432,802074.7555,6.188853373,222.7987214
local,cng,37,22075.57015,816796.0954,6.132107724,226.8879858
local,cng,38,21882.04375,831517.6623,6.078350348,230.9773132
local,cng,39,21698.3981,846237.526,6.027337628,235.0661675
local,cng,40,21523.97852,860959.1408,5.978887705,239.1555082
local,cng,41,21358.0464,875679.9025,5.932795414,243.244612
local,cng,42,21200.01458,890400.6122,5.888897649,247.3337013
local,cng,43,21049.33716,905121.4978,5.847042777,251.4228394
local,cng,44,20905.50206,919842.0908,5.807088552,255.5118963
local,cng,45,20765.11742,934430.284,5.768092787,259.5641754
local,cng,46,20627.89644,948883.2364,5.729975818,263.5788876
local,cng,47,20496.48883,963334.9752,5.693473675,267.5932627
local,cng,48,20370.59812,977788.7097,5.658504004,271.6081922
local,cng,49,20249.83315,992241.8246,5.624958154,275.6229495
local,cng,50,20133.86641,1006693.321,5.592745144,279.6372572
local,cng,51,20022.47431,1021146.19,5.561802869,283.6519463
local,cng,52,19915.39117,1035600.341,5.532057528,287.6669915
local,cng,53,19812.30292,1050052.055,5.503421882,291.6813597
local,cng,54,19713.05825,1064505.145,5.475853894,295.6961103
local,cng,55,19617.4176,1078957.968,5.449287026,299.7107864
local,cng,56,19510.13588,1092567.609,5.419486524,303.4912453
local,cng,57,19396.75571,1105615.076,5.387992008,307.1155445
local,cng,58,19287.28521,1118662.542,5.357583511,310.7398436
local,cng,59,19181.52564,1131710.013,5.32820583,314.3641439
local,cng,60,19079.29154,1144757.492,5.299807445,317.9884467
local,cng,61,19181.86135,1170093.542,5.328299082,325.026244
local,cng,62,19413.24855,1203621.41,5.392573355,334.339548
local,cng,63,19637.30851,1237150.436,5.454812282,343.6531738
